order_idx,arm,prompt_len,rep
0,B-q8-g64,long,2
1,B-q8-g64,long,0
2,D-q4-g32,medium,0
3,C-q4-g64,short,0
4,A-bf16,long,2
5,A-bf16,short,1
6,D-q4-g32,medium,1
7,A-bf16,medium,1
8,A-bf16,long,1
9,D-q4-g32,long,2
10,E-q4-emb8,long,2
11,A-bf16,medium,2
12,D-q4-g32,short,1
13,D-q4-g32,short,2
14,E-q4-emb8,long,1
15,B-q8-g64,medium,2
16,A-bf16,medium,0
17,E-q4-emb8,medium,1
18,A-bf16,short,0
19,B-q8-g64,short,0
20,D-q4-g32,medium,2
21,D-q4-g32,short,0
22,B-q8-g64,short,2
23,E-q4-emb8,short,2
24,C-q4-g64,medium,1
25,B-q8-g64,long,1
26,A-bf16,short,2
27,B-q8-g64,medium,0
28,C-q4-g64,short,2
29,C-q4-g64,long,2
30,D-q4-g32,long,0
31,A-bf16,long,0
32,E-q4-emb8,medium,2
33,B-q8-g64,medium,1
34,C-q4-g64,long,1
35,C-q4-g64,short,1
36,E-q4-emb8,long,0
37,C-q4-g64,long,0
38,C-q4-g64,medium,0
39,B-q8-g64,short,1
40,E-q4-emb8,short,1
41,E-q4-emb8,short,0
42,C-q4-g64,medium,2
43,D-q4-g32,long,1
44,E-q4-emb8,medium,0
