arm,flores_code,n_sents,sum_nll_nats,sum_bytes,sum_tokens,bpb,ppl_ref
A-bf16,eng_Latn,1012,115019.2255,132096,27830,1.25619,62.3599
A-bf16,spa_Latn,1012,139260.835,159885,36067,1.256596,47.5209
A-bf16,rus_Cyrl,1012,132143.0979,260342,40480,0.732276,26.1645
A-bf16,cmn_Hant,1012,152439.8986,116199,33306,1.892652,97.2174
A-bf16,hin_Deva,1012,515726.1295,337073,91950,2.207342,272.8077
A-bf16,arb_Arab,1012,153739.1127,211263,35878,1.04987,72.6064
A-bf16,swh_Latn,1012,171707.9255,138308,39936,1.791091,73.6687
A-bf16,yor_Latn,1012,238729.0565,168853,59481,2.039722,55.3421
A-bf16,amh_Ethi,1012,170827.5494,225450,57049,1.093156,19.9734
A-bf16,mya_Mymr,1012,765220.4587,465528,137812,2.371457,257.9176
B-q8-g64,eng_Latn,1012,115046.8226,132096,27830,1.256491,62.4218
B-q8-g64,spa_Latn,1012,139272.2822,159885,36067,1.2567,47.536
B-q8-g64,rus_Cyrl,1012,132175.1933,260342,40480,0.732454,26.1853
B-q8-g64,cmn_Hant,1012,152524.9808,116199,33306,1.893708,97.4661
B-q8-g64,hin_Deva,1012,514964.606,337073,91950,2.204083,270.5576
B-q8-g64,arb_Arab,1012,153726.4972,211263,35878,1.049784,72.5808
B-q8-g64,swh_Latn,1012,171742.2143,138308,39936,1.791448,73.7319
B-q8-g64,yor_Latn,1012,238613.9857,168853,59481,2.038739,55.2352
B-q8-g64,amh_Ethi,1012,170799.6514,225450,57049,1.092978,19.9636
B-q8-g64,mya_Mymr,1012,765785.2432,465528,137812,2.373208,258.9768
C-q4-g64,eng_Latn,1012,115465.0186,132096,27830,1.261059,63.3668
C-q4-g64,spa_Latn,1012,141252.6344,159885,36067,1.274569,50.2191
C-q4-g64,rus_Cyrl,1012,133923.3803,260342,40480,0.742141,27.3409
C-q4-g64,cmn_Hant,1012,153948.9992,116199,33306,1.911389,101.7237
C-q4-g64,hin_Deva,1012,523973.3985,337073,91950,2.242641,298.4075
C-q4-g64,arb_Arab,1012,155975.4597,211263,35878,1.065142,77.2761
C-q4-g64,swh_Latn,1012,174563.6891,138308,39936,1.820879,79.1295
C-q4-g64,yor_Latn,1012,243351.6201,168853,59481,2.079218,59.8146
C-q4-g64,amh_Ethi,1012,174376.4636,225450,57049,1.115866,21.2553
C-q4-g64,mya_Mymr,1012,769640.2465,465528,137812,2.385154,266.3234
D-q4-g32,eng_Latn,1012,115182.2822,132096,27830,1.257971,62.7263
D-q4-g32,spa_Latn,1012,140484.2948,159885,36067,1.267636,49.1606
D-q4-g32,rus_Cyrl,1012,133153.7386,260342,40480,0.737876,26.826
D-q4-g32,cmn_Hant,1012,152157.8259,116199,33306,1.88915,96.3976
D-q4-g32,hin_Deva,1012,514586.0389,337073,91950,2.202463,269.446
D-q4-g32,arb_Arab,1012,154466.4772,211263,35878,1.054837,74.0933
D-q4-g32,swh_Latn,1012,173760.3747,138308,39936,1.8125,77.5537
D-q4-g32,yor_Latn,1012,239955.9189,168853,59481,2.050205,56.4955
D-q4-g32,amh_Ethi,1012,172594.953,225450,57049,1.104466,20.6018
D-q4-g32,mya_Mymr,1012,776873.7378,465528,137812,2.407571,280.6756
E-q4-emb8,eng_Latn,1012,114864.2809,132096,27830,1.254498,62.0137
E-q4-emb8,spa_Latn,1012,140003.5296,159885,36067,1.263298,48.5096
E-q4-emb8,rus_Cyrl,1012,133657.496,260342,40480,0.740668,27.1619
E-q4-emb8,cmn_Hant,1012,153296.5091,116199,33306,1.903288,99.7502
E-q4-emb8,hin_Deva,1012,524608.6629,337073,91950,2.24536,300.4763
E-q4-emb8,arb_Arab,1012,154506.2451,211263,35878,1.055109,74.1755
E-q4-emb8,swh_Latn,1012,172700.3187,138308,39936,1.801442,75.5222
E-q4-emb8,yor_Latn,1012,240648.3169,168853,59481,2.056121,57.157
E-q4-emb8,amh_Ethi,1012,173227.7213,225450,57049,1.108515,20.8316
E-q4-emb8,mya_Mymr,1012,767857.654,465528,137812,2.37963,262.9007
