arm,flores_code,n_sents,chrf2
A-bf16,spa_Latn,200,53.3183
A-bf16,rus_Cyrl,200,54.0946
A-bf16,cmn_Hant,200,21.6578
A-bf16,hin_Deva,200,53.6739
A-bf16,arb_Arab,200,52.3989
A-bf16,swh_Latn,200,58.3008
A-bf16,yor_Latn,200,25.4601
A-bf16,amh_Ethi,200,26.5582
A-bf16,mya_Mymr,200,33.0121
C-q4-g64,spa_Latn,200,52.798
C-q4-g64,rus_Cyrl,200,53.9614
C-q4-g64,cmn_Hant,200,19.9761
C-q4-g64,hin_Deva,200,52.3533
C-q4-g64,arb_Arab,200,51.4761
C-q4-g64,swh_Latn,200,56.1311
C-q4-g64,yor_Latn,200,22.1391
C-q4-g64,amh_Ethi,200,24.6461
C-q4-g64,mya_Mymr,200,30.0618
E-q4-emb8,spa_Latn,200,53.0998
E-q4-emb8,rus_Cyrl,200,54.7921
E-q4-emb8,cmn_Hant,200,20.2164
E-q4-emb8,hin_Deva,200,53.2605
E-q4-emb8,arb_Arab,200,51.6542
E-q4-emb8,swh_Latn,200,57.6683
E-q4-emb8,yor_Latn,200,24.0751
E-q4-emb8,amh_Ethi,200,24.7225
E-q4-emb8,mya_Mymr,200,29.6354
