arm,flores_code,tier,rel_delta_chrfpp_pct,rel_delta_chrf_pct
C-q4-g64,spa_Latn,high,-0.976,-0.828
C-q4-g64,rus_Cyrl,high,-0.246,-0.271
C-q4-g64,cmn_Hant,high,-7.765,-9.745
C-q4-g64,hin_Deva,mid,-2.46,-2.281
C-q4-g64,arb_Arab,mid,-1.761,-1.421
C-q4-g64,swh_Latn,low,-3.722,-3.505
C-q4-g64,yor_Latn,low,-13.044,-12.905
C-q4-g64,amh_Ethi,low,-7.199,-7.42
C-q4-g64,mya_Mymr,low,-8.937,-8.893
E-q4-emb8,spa_Latn,high,-0.41,-0.381
E-q4-emb8,rus_Cyrl,high,1.289,1.274
E-q4-emb8,cmn_Hant,high,-6.656,-8.995
E-q4-emb8,hin_Deva,mid,-0.77,-0.571
E-q4-emb8,arb_Arab,mid,-1.421,-1.345
E-q4-emb8,swh_Latn,low,-1.085,-1.017
E-q4-emb8,yor_Latn,low,-5.44,-5.637
E-q4-emb8,amh_Ethi,low,-6.912,-7.368
E-q4-emb8,mya_Mymr,low,-10.229,-10.242
