arm,flores_code,tier,script_family,rel_delta_pct,ci_low,ci_high
B-q8-g64,eng_Latn,high,Latin,0.024,0.0035,0.0443
B-q8-g64,spa_Latn,high,Latin,0.0082,-0.0112,0.0277
B-q8-g64,rus_Cyrl,high,non-Latin,0.0243,0.002,0.0468
B-q8-g64,cmn_Hant,high,non-Latin,0.0558,0.0354,0.0752
B-q8-g64,hin_Deva,mid,non-Latin,-0.1477,-0.1596,-0.1356
B-q8-g64,arb_Arab,mid,non-Latin,-0.0082,-0.0243,0.0079
B-q8-g64,swh_Latn,low,Latin,0.02,-0.0018,0.0412
B-q8-g64,yor_Latn,low,Latin,-0.0482,-0.063,-0.0333
B-q8-g64,amh_Ethi,low,non-Latin,-0.0163,-0.0318,-0.0009
B-q8-g64,mya_Mymr,low,non-Latin,0.0738,0.0639,0.0834
C-q4-g64,eng_Latn,high,Latin,0.3876,0.2053,0.5695
C-q4-g64,spa_Latn,high,Latin,1.4303,1.2479,1.6148
C-q4-g64,rus_Cyrl,high,non-Latin,1.3472,1.1447,1.5547
C-q4-g64,cmn_Hant,high,non-Latin,0.99,0.8237,1.1622
C-q4-g64,hin_Deva,mid,non-Latin,1.5992,1.4808,1.7178
C-q4-g64,arb_Arab,mid,non-Latin,1.4546,1.2846,1.62
C-q4-g64,swh_Latn,low,Latin,1.6632,1.4658,1.8652
C-q4-g64,yor_Latn,low,Latin,1.9363,1.779,2.0942
C-q4-g64,amh_Ethi,low,non-Latin,2.0775,1.9253,2.2288
C-q4-g64,mya_Mymr,low,non-Latin,0.5776,0.4953,0.6609
D-q4-g32,eng_Latn,high,Latin,0.1418,-0.0191,0.2997
D-q4-g32,spa_Latn,high,Latin,0.8785,0.7195,1.042
D-q4-g32,rus_Cyrl,high,non-Latin,0.7648,0.5862,0.9496
D-q4-g32,cmn_Hant,high,non-Latin,-0.185,-0.3409,-0.033
D-q4-g32,hin_Deva,mid,non-Latin,-0.2211,-0.3204,-0.1228
D-q4-g32,arb_Arab,mid,non-Latin,0.4731,0.3314,0.6143
D-q4-g32,swh_Latn,low,Latin,1.1953,1.0192,1.371
D-q4-g32,yor_Latn,low,Latin,0.5139,0.3888,0.6388
D-q4-g32,amh_Ethi,low,non-Latin,1.0346,0.9112,1.157
D-q4-g32,mya_Mymr,low,non-Latin,1.5229,1.4278,1.6158
E-q4-emb8,eng_Latn,high,Latin,-0.1347,-0.29,0.0211
E-q4-emb8,spa_Latn,high,Latin,0.5333,0.384,0.6845
E-q4-emb8,rus_Cyrl,high,non-Latin,1.146,0.9703,1.3259
E-q4-emb8,cmn_Hant,high,non-Latin,0.5619,0.4209,0.7043
E-q4-emb8,hin_Deva,mid,non-Latin,1.7223,1.6185,1.8259
E-q4-emb8,arb_Arab,mid,non-Latin,0.499,0.351,0.6442
E-q4-emb8,swh_Latn,low,Latin,0.578,0.4055,0.7502
E-q4-emb8,yor_Latn,low,Latin,0.8039,0.679,0.9269
E-q4-emb8,amh_Ethi,low,non-Latin,1.405,1.2765,1.5326
E-q4-emb8,mya_Mymr,low,non-Latin,0.3446,0.2728,0.4181
