arm,flores_code,n,script_drift_rate,lid_mismatch_rate,rep_3gram_rate,empty_or_short_rate
A-bf16,spa_Latn,200,0.0,0.0,0.0,0.0
A-bf16,rus_Cyrl,200,0.0,0.005,0.0,0.0
A-bf16,cmn_Hant,200,0.06,0.005,0.005,0.0
A-bf16,hin_Deva,200,0.01,0.025,0.0,0.0
A-bf16,arb_Arab,200,0.005,0.0,0.0,0.0
A-bf16,swh_Latn,200,0.0,0.01,0.01,0.0
A-bf16,yor_Latn,200,0.0,0.03,0.005,0.0
A-bf16,amh_Ethi,200,0.015,,0.035,0.0
A-bf16,mya_Mymr,200,0.095,,0.075,0.0
C-q4-g64,spa_Latn,200,0.0,0.0,0.0,0.0
C-q4-g64,rus_Cyrl,200,0.005,0.01,0.0,0.0
C-q4-g64,cmn_Hant,200,0.075,0.015,0.01,0.0
C-q4-g64,hin_Deva,200,0.01,0.04,0.0,0.0
C-q4-g64,arb_Arab,200,0.005,0.0,0.005,0.0
C-q4-g64,swh_Latn,200,0.0,0.01,0.005,0.0
C-q4-g64,yor_Latn,200,0.0,0.065,0.035,0.0
C-q4-g64,amh_Ethi,200,0.04,,0.06,0.0
C-q4-g64,mya_Mymr,200,0.14,,0.11,0.0
E-q4-emb8,spa_Latn,200,0.0,0.0,0.0,0.0
E-q4-emb8,rus_Cyrl,200,0.0,0.0,0.005,0.0
E-q4-emb8,cmn_Hant,200,0.06,0.005,0.005,0.0
E-q4-emb8,hin_Deva,200,0.01,0.035,0.0,0.0
E-q4-emb8,arb_Arab,200,0.005,0.0,0.005,0.0
E-q4-emb8,swh_Latn,200,0.0,0.01,0.0,0.0
E-q4-emb8,yor_Latn,200,0.0,0.035,0.015,0.0
E-q4-emb8,amh_Ethi,200,0.015,,0.06,0.0
E-q4-emb8,mya_Mymr,200,0.135,,0.105,0.0
