tensor,layer,kind,rel_err
model.layers.9.self_attn.v_proj.weight,9,v_proj,0.093147
model.layers.9.self_attn.q_proj.weight,9,q_proj,0.093219
model.layers.9.self_attn.o_proj.weight,9,o_proj,0.091522
model.layers.9.self_attn.k_proj.weight,9,k_proj,0.097135
model.layers.9.mlp.up_proj.weight,9,up_proj,0.093056
model.layers.9.mlp.gate_proj.weight,9,gate_proj,0.09242
model.layers.9.mlp.down_proj.weight,9,down_proj,0.093768
model.layers.8.self_attn.v_proj.weight,8,v_proj,0.093116
model.layers.8.self_attn.q_proj.weight,8,q_proj,0.096528
model.layers.8.self_attn.o_proj.weight,8,o_proj,0.091668
model.layers.8.self_attn.k_proj.weight,8,k_proj,0.099591
model.layers.8.mlp.gate_proj.weight,8,gate_proj,0.092077
model.layers.8.mlp.down_proj.weight,8,down_proj,0.092914
model.layers.7.mlp.up_proj.weight,7,up_proj,0.092558
model.layers.7.mlp.gate_proj.weight,7,gate_proj,0.092179
model.layers.7.mlp.down_proj.weight,7,down_proj,0.093404
model.layers.6.self_attn.v_proj.weight,6,v_proj,0.092786
model.layers.6.self_attn.q_proj.weight,6,q_proj,0.099166
model.layers.6.self_attn.k_proj.weight,6,k_proj,0.095935
model.layers.5.self_attn.q_proj.weight,5,q_proj,0.09447
model.layers.5.self_attn.k_proj.weight,5,k_proj,0.097165
model.layers.14.mlp.up_proj.weight,14,up_proj,0.093193
model.layers.5.mlp.gate_proj.weight,5,gate_proj,0.092194
model.layers.6.self_attn.o_proj.weight,6,o_proj,0.09187
model.layers.4.self_attn.k_proj.weight,4,k_proj,0.100047
model.layers.4.mlp.up_proj.weight,4,up_proj,0.092472
model.layers.6.mlp.up_proj.weight,6,up_proj,0.092332
model.layers.4.mlp.gate_proj.weight,4,gate_proj,0.092324
model.layers.4.mlp.down_proj.weight,4,down_proj,0.093165
model.layers.3.self_attn.q_proj.weight,3,q_proj,0.098668
model.layers.19.self_attn.o_proj.weight,19,o_proj,0.091728
model.layers.3.self_attn.o_proj.weight,3,o_proj,0.091755
model.layers.7.self_attn.k_proj.weight,7,k_proj,0.092529
model.layers.3.mlp.up_proj.weight,3,up_proj,0.092215
model.layers.27.self_attn.q_proj.weight,27,q_proj,0.092504
model.layers.27.self_attn.o_proj.weight,27,o_proj,0.091688
model.layers.27.self_attn.k_proj.weight,27,k_proj,0.099786
model.layers.5.mlp.up_proj.weight,5,up_proj,0.092694
model.layers.16.mlp.down_proj.weight,16,down_proj,0.095827
model.layers.21.self_attn.v_proj.weight,21,v_proj,0.095085
model.layers.4.self_attn.o_proj.weight,4,o_proj,0.091823
model.layers.24.mlp.up_proj.weight,24,up_proj,0.092801
model.layers.27.mlp.gate_proj.weight,27,gate_proj,0.092153
model.layers.18.self_attn.v_proj.weight,18,v_proj,0.095412
model.layers.26.self_attn.o_proj.weight,26,o_proj,0.091724
model.layers.26.self_attn.k_proj.weight,26,k_proj,0.099055
model.layers.3.mlp.gate_proj.weight,3,gate_proj,0.091638
model.layers.26.mlp.gate_proj.weight,26,gate_proj,0.092379
model.layers.1.mlp.up_proj.weight,1,up_proj,0.092385
model.layers.5.self_attn.o_proj.weight,5,o_proj,0.092276
model.layers.8.mlp.up_proj.weight,8,up_proj,0.092813
model.layers.26.mlp.down_proj.weight,26,down_proj,0.092165
model.layers.25.self_attn.v_proj.weight,25,v_proj,0.096874
model.layers.25.self_attn.o_proj.weight,25,o_proj,0.091363
model.layers.25.mlp.up_proj.weight,25,up_proj,0.092426
model.layers.25.mlp.gate_proj.weight,25,gate_proj,0.09274
model.layers.21.mlp.down_proj.weight,21,down_proj,0.093585
model.layers.13.mlp.down_proj.weight,13,down_proj,0.09385
model.layers.24.self_attn.v_proj.weight,24,v_proj,0.102989
model.layers.0.self_attn.v_proj.weight,0,v_proj,0.093636
model.layers.24.self_attn.q_proj.weight,24,q_proj,0.092583
model.layers.26.self_attn.v_proj.weight,26,v_proj,0.109693
model.layers.24.mlp.gate_proj.weight,24,gate_proj,0.093239
model.layers.23.self_attn.v_proj.weight,23,v_proj,0.101282
model.layers.23.self_attn.q_proj.weight,23,q_proj,0.092636
model.layers.12.self_attn.k_proj.weight,12,k_proj,0.098644
model.layers.23.self_attn.o_proj.weight,23,o_proj,0.09151
model.layers.23.mlp.gate_proj.weight,23,gate_proj,0.09408
model.layers.17.self_attn.q_proj.weight,17,q_proj,0.093018
model.layers.24.self_attn.k_proj.weight,24,k_proj,0.098054
model.layers.22.self_attn.v_proj.weight,22,v_proj,0.10314
model.layers.22.mlp.up_proj.weight,22,up_proj,0.093512
model.layers.22.mlp.gate_proj.weight,22,gate_proj,0.094662
model.layers.22.mlp.down_proj.weight,22,down_proj,0.094004
model.layers.15.mlp.down_proj.weight,15,down_proj,0.093642
model.layers.21.self_attn.o_proj.weight,21,o_proj,0.091494
