order_idx,arm,prompt_len,rep,prompt_tokens,prefill_tps,decode_tps,ttft_ms,gen_tokens,peak_gb,wall_start_s
0,B-q8-g64,long,2,2430,455.46,22.83,5829.5,256,4.282,2.7
1,B-q8-g64,long,0,2430,459.02,23.64,5428.0,256,4.283,109.9
2,D-q4-g32,medium,0,894,415.97,40.29,2263.0,256,4.283,217.9
3,C-q4-g64,short,0,510,366.88,47.44,1497.8,36,4.283,318.1
4,A-bf16,long,2,2430,448.24,12.89,5784.9,256,7.246,414.7
5,A-bf16,short,1,510,275.13,13.12,1989.5,137,7.246,530.5
6,D-q4-g32,medium,1,894,473.74,39.92,2003.5,256,7.246,635.2
7,A-bf16,medium,1,894,325.19,13.05,2900.8,256,7.246,737.0
8,A-bf16,long,1,2430,423.99,12.82,5898.3,256,7.246,849.6
9,D-q4-g32,long,2,2430,468.64,38.73,5302.1,256,7.246,967.5
10,E-q4-emb8,long,2,2430,463.54,37.17,5368.4,256,7.246,1070.9
11,A-bf16,medium,2,894,326.17,13.19,2868.8,256,7.246,1177.0
12,D-q4-g32,short,1,510,467.56,41.72,1205.9,211,7.246,1291.2
13,D-q4-g32,short,2,510,462.22,40.79,1242.9,211,7.246,1387.5
14,E-q4-emb8,long,1,2430,445.9,37.31,5568.0,256,7.246,1485.5
15,B-q8-g64,medium,2,894,388.79,24.3,2412.0,256,7.246,1590.2
16,A-bf16,medium,0,894,328.61,13.23,2835.7,256,7.246,1696.8
17,E-q4-emb8,medium,1,894,475.11,37.73,1993.9,256,7.246,1810.9
18,A-bf16,short,0,510,275.87,13.24,1962.7,137,7.246,1913.3
19,B-q8-g64,short,0,510,400.78,24.91,1382.9,137,7.246,2018.0
20,D-q4-g32,medium,2,894,472.04,41.02,2006.7,256,7.246,2116.4
21,D-q4-g32,short,0,510,457.31,40.64,1248.3,211,7.246,2214.7
22,B-q8-g64,short,2,510,326.03,24.6,1675.0,137,7.246,2313.4
23,E-q4-emb8,short,2,510,432.05,41.91,1293.0,28,7.246,2412.2
24,C-q4-g64,medium,1,894,383.48,43.49,2454.8,256,7.246,2505.7
25,B-q8-g64,long,1,2430,434.7,23.69,5703.1,256,7.246,2606.4
26,A-bf16,short,2,510,287.05,13.31,1902.5,137,7.246,2716.8
27,B-q8-g64,medium,0,894,431.2,24.44,2184.7,256,7.246,2821.4
28,C-q4-g64,short,2,510,468.33,47.59,1198.8,36,7.246,2925.5
29,C-q4-g64,long,2,2430,469.96,42.7,5300.2,256,7.246,3017.5
30,D-q4-g32,long,0,2430,461.85,38.97,5372.3,256,7.246,3120.2
31,A-bf16,long,0,2430,433.73,12.94,5735.6,256,7.246,3226.0
32,E-q4-emb8,medium,2,894,478.82,40.05,1974.9,256,7.246,3343.4
33,B-q8-g64,medium,1,894,390.33,24.24,2400.6,256,7.246,3444.0
34,C-q4-g64,long,1,2430,445.05,38.67,5612.8,256,7.246,3548.9
35,C-q4-g64,short,1,510,465.26,47.36,1212.5,36,7.246,3651.2
36,E-q4-emb8,long,0,2430,447.67,35.69,5608.9,256,7.246,3745.2
37,C-q4-g64,long,0,2430,446.88,42.12,5550.2,256,7.246,3849.5
38,C-q4-g64,medium,0,894,470.82,44.96,2032.1,256,7.246,3951.2
39,B-q8-g64,short,1,510,328.69,24.57,1734.7,137,7.246,4051.4
40,E-q4-emb8,short,1,510,390.23,41.76,1415.2,28,7.246,4150.5
41,E-q4-emb8,short,0,510,457.61,42.08,1244.6,28,7.246,4242.7
42,C-q4-g64,medium,2,894,415.7,42.99,2275.4,256,7.246,4336.2
43,D-q4-g32,long,1,2430,445.75,37.31,5565.2,256,7.246,4436.3
44,E-q4-emb8,medium,0,894,422.09,38.96,2231.3,256,7.246,4540.4
