token_id,freq,primary_lang,tier,concentration,mse,rel_err,row_norm
1524,13248,mya_Mymr,low,1.0,7.86497e-06,0.090798,1.39777
439,8759,mya_Mymr,low,1.0,7.52018e-06,0.0945248,1.31291
371,7870,hin_Deva,mid,1.0,1.40189e-05,0.111605,1.51823
26,7703,spa_Latn,high,0.236,4.77588e-05,0.0887395,3.52431
28,7512,eng_Latn,high,0.221,4.32529e-05,0.0888842,3.34848
4349,6254,mya_Mymr,low,1.0,7.25787e-06,0.0922864,1.32109
424,5520,hin_Deva,mid,1.0,1.30977e-05,0.101543,1.61292
7111,5206,mya_Mymr,low,1.0,6.37195e-06,0.0895074,1.27627
440,4779,hin_Deva,mid,1.0,8.68006e-06,0.0956928,1.39331
491,4142,hin_Deva,mid,1.0,7.56596e-06,0.089557,1.38994
4466,4135,mya_Mymr,low,1.0,8.04979e-06,0.0897992,1.42983
7542,3799,mya_Mymr,low,1.0,7.11238e-06,0.0922171,1.30876
529,3727,hin_Deva,mid,1.0,7.34298e-06,0.0938043,1.30731
26069,3638,mya_Mymr,low,1.0,7.08273e-06,0.091014,1.3233
510,3603,hin_Deva,mid,1.0,1.23974e-05,0.1026,1.55304
96677,3330,mya_Mymr,low,1.0,7.15385e-06,0.0885403,1.36708
45763,3324,mya_Mymr,low,1.0,7.42967e-06,0.0928532,1.32847
33837,3320,mya_Mymr,low,1.0,7.84441e-06,0.0885613,1.4312
8522,3285,mya_Mymr,low,1.0,6.8674e-06,0.0905318,1.30997
42354,3279,mya_Mymr,low,1.0,6.45467e-06,0.0931385,1.23445
17499,3102,mya_Mymr,low,1.0,5.69895e-06,0.0887852,1.21681
235,2765,cmn_Hant,high,0.235,6.42278e-05,0.09117,3.97809
499,2703,hin_Deva,mid,1.0,1.16702e-05,0.101134,1.52864
2435,2697,mya_Mymr,low,1.0,7.83526e-06,0.0902792,1.40315
58867,2638,mya_Mymr,low,1.0,7.4876e-06,0.089558,1.38271
18081,2605,mya_Mymr,low,1.0,7.45397e-06,0.0916908,1.34751
9730,2581,mya_Mymr,low,1.0,7.28783e-06,0.0938002,1.30245
15579,2442,mya_Mymr,low,1.0,6.17793e-06,0.0923579,1.2179
238,2385,mya_Mymr,low,0.97,1.17155e-05,0.0930167,1.66527
3005,2314,mya_Mymr,low,1.0,5.89735e-06,0.0908338,1.20989
10527,2314,mya_Mymr,low,1.0,4.59514e-06,0.0909526,1.06659
54639,2289,mya_Mymr,low,1.0,7.10579e-06,0.0912834,1.32154
47087,2259,yor_Latn,low,1.0,1.01946e-05,0.0887294,1.62848
267,2188,mya_Mymr,low,0.854,1.11409e-05,0.0895556,1.68668
47088,2133,yor_Latn,low,0.999,1.43319e-05,0.0937115,1.8282
596,2116,hin_Deva,mid,1.0,9.75832e-06,0.0941742,1.50114
30,2076,eng_Latn,high,0.182,6.54215e-05,0.103218,3.54625
609,2069,hin_Deva,mid,1.0,1.09622e-05,0.0974518,1.53753
744,2061,hin_Deva,mid,1.0,1.07241e-05,0.0953126,1.55487
809,2012,hin_Deva,mid,1.0,6.98269e-06,0.0907229,1.31813
345,1897,spa_Latn,high,0.985,4.57665e-05,0.0921688,3.32166
631,1884,hin_Deva,mid,1.0,1.00876e-05,0.0959307,1.49831
27058,1859,mya_Mymr,low,1.0,5.47329e-06,0.0928969,1.13969
1644,1856,hin_Deva,mid,1.0,9.4009e-06,0.0948004,1.46366
3294,1759,mya_Mymr,low,1.0,6.85024e-06,0.0905671,1.30782
19560,1680,mya_Mymr,low,1.0,6.02423e-06,0.0926313,1.19911
726,1663,hin_Deva,mid,1.0,6.68337e-06,0.0878882,1.33117
42226,1541,mya_Mymr,low,1.0,6.79571e-06,0.0920723,1.28131
31,1512,eng_Latn,high,0.179,7.75854e-05,0.105203,3.78903
526,1498,yor_Latn,low,1.0,2.16421e-05,0.0975208,2.15882
822,1461,hin_Deva,mid,1.0,9.45825e-06,0.0939533,1.48135
5805,1449,amh_Ethi,low,1.0,6.95271e-06,0.0916511,1.30198
3292,1419,mya_Mymr,low,1.0,8.05367e-06,0.0914673,1.40409
851,1370,hin_Deva,mid,1.0,6.68974e-06,0.0912896,1.28218
301,1345,eng_Latn,high,0.987,4.5542e-05,0.0908306,3.36232
794,1345,hin_Deva,mid,1.0,9.08432e-06,0.0907971,1.50224
737,1276,cmn_Hant,high,1.0,7.28632e-06,0.0887228,1.37684
2458,1237,swh_Latn,low,0.973,1.49668e-05,0.0898451,1.94866
939,1220,hin_Deva,mid,1.0,9.79828e-06,0.0929842,1.52346
1227,1180,hin_Deva,mid,1.0,8.81554e-06,0.0926872,1.44967
871,1143,hin_Deva,mid,1.0,7.27757e-06,0.0864767,1.41175
93429,1135,yor_Latn,low,1.0,8.63561e-06,0.0929147,1.43129
131,1110,mya_Mymr,low,0.841,1.04038e-05,0.089587,1.62936
276,1104,eng_Latn,high,0.482,5.71355e-05,0.0987994,3.46229
19178,1098,amh_Ethi,low,1.0,3.76941e-06,0.0885106,0.992674
718,1081,swh_Latn,low,0.995,3.24119e-05,0.0967707,2.6624
8900,1079,mya_Mymr,low,1.0,4.02665e-06,0.0882401,1.02913
33712,1057,mya_Mymr,low,1.0,6.70057e-06,0.0920665,1.27239
566,1051,cmn_Hant,high,1.0,8.65285e-06,0.0918088,1.44998
1293,1046,yor_Latn,low,1.0,1.62029e-05,0.091382,1.99343
13062,1036,mya_Mymr,low,1.0,3.73327e-06,0.0881611,0.991819
492,1023,yor_Latn,low,0.946,2.18998e-05,0.092603,2.28697
528,1010,spa_Latn,high,0.837,2.95847e-05,0.0921519,2.67113
3693,958,yor_Latn,low,1.0,9.81595e-06,0.0894937,1.5843
61250,957,mya_Mymr,low,1.0,6.21187e-06,0.0919943,1.22607
2226,945,yor_Latn,low,1.0,1.68063e-05,0.0958888,1.93478
149684,933,mya_Mymr,low,1.0,6.76916e-06,0.0911652,1.29153
231065,918,mya_Mymr,low,1.0,6.63327e-06,0.0910183,1.28056
30510,912,mya_Mymr,low,1.0,6.92976e-06,0.0893511,1.33329
2015,907,hin_Deva,mid,1.0,9.48336e-06,0.101664,1.37082
389,904,eng_Latn,high,0.172,5.76453e-05,0.0923336,3.72124
1252,896,hin_Deva,mid,1.0,6.66649e-06,0.0899768,1.29862
1054,889,arb_Arab,mid,1.0,7.37464e-06,0.0897754,1.36892
1496,872,hin_Deva,mid,1.0,8.73055e-06,0.0932822,1.43347
378,871,spa_Latn,high,0.821,3.60707e-05,0.0948003,2.86703
912,860,hin_Deva,mid,1.0,9.49586e-06,0.0932529,1.49544
8417,855,amh_Ethi,low,1.0,6.81857e-06,0.0903071,1.30855
833,843,hin_Deva,mid,1.0,6.68165e-06,0.0910563,1.28469
253,839,mya_Mymr,low,0.712,1.01067e-05,0.0865434,1.6624
7132,837,amh_Ethi,low,1.0,8.56495e-06,0.0961843,1.37697
4151,833,swh_Latn,low,0.947,2.48136e-05,0.0958445,2.35203
600,827,hin_Deva,mid,1.0,9.57789e-06,0.091472,1.53113
27,822,eng_Latn,high,0.284,5.75286e-05,0.0936321,3.66591
92,816,yor_Latn,low,0.949,5.72453e-05,0.102219,3.34967
16595,815,mya_Mymr,low,1.0,7.12108e-06,0.0907699,1.33044
1407,810,hin_Deva,mid,1.0,8.89395e-06,0.094375,1.43006
262,805,mya_Mymr,low,0.841,1.1083e-05,0.0899099,1.67566
2056,804,hin_Deva,mid,1.0,8.34157e-06,0.0914531,1.42919
32,803,eng_Latn,high,0.172,7.59129e-05,0.105767,3.72798
10741,796,amh_Ethi,low,1.0,6.60338e-06,0.0894439,1.30016
25692,796,mya_Mymr,low,1.0,7.11026e-06,0.0897293,1.34485
